BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","kpodjedo_madmatch_2013","Kpodjedo, S.; Ricca, F.; Galinier, P.; Antoniol, G. & Gueheneuc, Y.-G.","Madmatch: Many-to-many approximate diagram matching for design comparison","IEEE Transactions on Software Engineering",39,8,"","1090--1111",2013,"","45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881038069&doi=10.1109%2fTSE.2013.9&partnerID=40&md5=9a548cfb32b924a02c660b079f2e1e6b","","","","","","","","","","","","cited By 13","Matching algorithms play a fundamental role in many important but difficult software engineering activities, especially design evolution analysis and model comparison. We present MADMatch, a fast and scalable many-to-many approximate diagram matching approach based on an error-tolerant graph matching (ETGM) formulation. Diagrams are represented as graphs, costs are assigned to possible differences between two given graphs, and the goal is to retrieve the cheapest matching. We address the resulting optimization problem with a tabu search enhanced by the novel use of lexical and structural information. Through several case studies with different types of diagrams and tasks, we show that our generic approach obtains better results than dedicated state-of-the-art algorithms, such as AURA, PLTSDiff, or UMLDiff, on the exact same datasets used to introduce (and evaluate) these algorithms. © 1976-2012 IEEE.","","","",""
6,"1-333-56789-0","koehn_empirical_2003","Koehn, Philipp & Knight, Kevin","Empirical Methods for Compound Splitting","",,,"","187--193",2003,"Stroudsburg, PA, USA","event-place: Budapest, Hungary 28","https://doi.org/10.3115/1067807.1067833","Proceedings of the {Tenth} {Conference} on {European} {Chapter} of the {Association} for {Computational} {Linguistics} - {Volume} 1","","","{EACL} '03","","Association for Computational Linguistics","","","","","","","","","","",""
7,"","kirkedal_automatic_2014","Kirkedal, Andreas Søeborg","Automatic Phonetic Transcription for Danish Speech Recognition","",,,"","",2014,"","12","","","","","","","","","","","","","","","","","",""
6,"978-1-60558-512-3","khaitan_data-driven_2009","Khaitan, Sanjeet; Das, Arumay; Gain, Sandeep & Sampath, Adithi","Data-driven Compound Splitting Method for English Compounds in Domain Names","",,,"","207--214",2009,"New York, NY, USA","event-place: Hong Kong, China 21","http://doi.acm.org/10.1145/1645953.1645982","Proceedings of the 18th {ACM} {Conference} on {Information} and {Knowledge} {Management}","","","{CIKM} '09","","ACM","","","","","","","","","compound splitting, domain names","",""
7,"","kazakov_unsupervised_2001-2","Kazakov, D. & Manandhar, S.","Unsupervised learning of word segmentation rules with genetic algorithms and inductive logic programming","Machine Learning",43,1-2,"","121--162",2001,"","144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035312598&doi=10.1023%2fA%3a1007629103294&partnerID=40&md5=eaae5dc95f7c91cc97525afdf2bb2c17","","","","","","","","","","","","cited By 21","This article presents a combination of unsupervised and supervised learning techniques for the generation of word segmentation rules from a raw list of words. First, a language bias for word segmentation is introduced and a simple genetic algorithm is used in the search for a segmentation that corresponds to the best bias value. In the second phase, the words segmented by the genetic algorithm are used as an input for the first order decision list learner CLOG. The result is a set of first order rules which can be used for segmentation of unseen words. When applied on either the training data or unseen data, these rules produce segmentation which are linguistically meaningful, and to a large degree conforming to the annotation provided.","","","",""
7,"","kawakami_learning_2018-1","Kawakami, Kazuya; Dyer, Chris & Blunsom, Phil","Learning to Discover, Ground and Use Words with Segmental Neural Language Models","arxiv:1811.09353",,,"","",2018,"","122","http://arxiv.org/abs/1811.09353v2","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","junczys-dowmunt_smt_2014","Junczys-Dowmunt, Marcin & Pouliquen, Bruno","SMT of German Patents at WIPO: Decompounding and Verb Structure Pre-reordering","",,,"","217--220",2014,"","64","","Proceedings of the 17th {Annual} {Conference} of the {European} {Association} for {Machine} {Translation} ({EAMT}2014)","","","","","","","","","","","","","","","",""
6,"978-1-932432-41-1","johnson_improving_2009-1","Johnson, Mark & Goldwater, Sharon","Improving Nonparameteric Bayesian Inference: Experiments on Unsupervised Word Segmentation with Adaptor Grammars","",,,"","317--325",2009,"Stroudsburg, PA, USA","113 event-place: Boulder, Colorado","http://dl.acm.org/citation.cfm?id=1620754.1620800","Proceedings of {Human} {Language} {Technologies}: {The} 2009 {Annual} {Conference} of the {North} {American} {Chapter} of the {Association} for {Computational} {Linguistics}","","","{NAACL} '09","","Association for Computational Linguistics","","","","","","","","","","",""
1,"","jenks_python_nodate-2","Jenks, Grant","Python Word Segmentation","",,,"","",,"","130","https://github.com/grantjenks/python-wordsegment","","","","","","","","","","","","","Based on code from the chapter "Natural Language Corpus Data" by Peter Norvig from the book "Beautiful Data" (Segaran and Hammerbacher, 2009). Data files are derived from the Google Web Trillion Word Corpus, as described by Thorsten Brants and Alex Franz, and distributed by the Linguistic Data Consortium. This module contains only a subset of that data. The unigram data includes only the most common 333,000 words. Similarly, bigram data includes only the most common 250,000 phrases. Every word and phrase is lowercased with punctuation removed.","","","",""
6,"","jagfeld_evaluating_2017","Jagfeld, G.; Ziering, P. & Van Der Plas, L.","Evaluating compound splitters extrinsically with textual entailment","",2,,"","58--63",2017,"","29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040556164&doi=10.18653%2fv1%2fP17-2010&partnerID=40&md5=abad0047ea69c94b560a54599233b45f","{ACL} 2017 - 55th {Annual} {Meeting} of the {Association} for {Computational} {Linguistics}, {Proceedings} of the {Conference} ({Long} {Papers})","","","","","","","","","","","cited By 0","Traditionally, compound splitters are evaluated intrinsically on gold-standard data or extrinsically on the task of statistical machine translation. We explore a novel way for the extrinsic evaluation of compound splitters, namely recognizing textual entailment. Compound splitting has great potential for this novel task that is both transparent and well-defined. Moreover, we show that it addresses certain aspects that are either ignored in intrinsic evaluations or compensated for by task-internal mechanisms in statistical machine translation. We show significant improvements using different compound splitting methods on a German textual entailment dataset. © 2017 Association for Computational Linguistics.","","","",""
7,"","hucka_nostril_2018","Hucka, Michael","Nostril: A nonsense string evaluator written in Python.","J. Open Source Software",3,25,"","596",2018,"","49","","","","","","","","","","","","","","","","","",""
7,"","hucka_spiral_2018","Hucka, Michael","Spiral: splitters for identifiers in source code files.","J. Open Source Software",3,24,"","653",2018,"","66","","","","","","","","","","","","","","","","","",""
6,"3-540-78134-X 978-3-540-78134-9","holz_unsupervised_2008","Holz, Florian & Biemann, Chris","Unsupervised and Knowledge-free Learning of Compound Splits and Periphrases","",,,"","117--127",2008,"Berlin, Heidelberg","event-place: Haifa, Israel 77","http://dl.acm.org/citation.cfm?id=1787578.1787592","Proceedings of the 9th {International} {Conference} on {Computational} {Linguistics} and {Intelligent} {Text} {Processing}","","","{CICLing}'08","","Springer-Verlag","","","","","","","","","","",""
7,"","hollink_monolingual_2004","Hollink, V.; Kamps, J.; Monz, C. & De Rijke, M.","Monolingual document retrieval for European languages","Information Retrieval",7,1-2,"","33--52",2004,"","47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3843105784&partnerID=40&md5=f9c951e94a8a59c020fd5a0c4b3bbf46","","","","","","","","","","","","cited By 54","Recent years have witnessed considerable advances in information retrieval for European languages other than English. We give an overview of commonly used techniques and we analyze them with respect to their impact on retrieval effectiveness. The techniques considered range from linguistically motivated techniques, such as morphological normalization and compound splitting, to knowledge-free approaches, such as n-gram indexing. Evaluations are carried out against data from the CLEF campaign, covering eight European languages. Our results show that for many of these languages a modicum of linguistic techniques may lead to improvements in retrieval effectiveness, as can the use of language independent techniques.","","","",""
6,"","hirschmann_what_2016","Hirschmann, F.; Nam, J. & Fürnkranz, J.","What makes word-level neural machine translation hard: A case study on English-German translation","",,,"","3199--3208",2016,"","85","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039147994&partnerID=40&md5=92b1d72c2067f0a3005d477c56d828af","{COLING} 2016 - 26th {International} {Conference} on {Computational} {Linguistics}, {Proceedings} of {COLING} 2016: {Technical} {Papers}","","","","","","","","","","","cited By 3","Traditional machine translation systems often require heavy feature engineering and the combination of multiple techniques for solving different subproblems. In recent years, several end-to-end learning architectures based on recurrent neural networks have been proposed. Unlike traditional systems, Neural Machine Translation (NMT) systems learn the parameters of the model and require only minimal preprocessing. Memory and time constraints allow to take only a fixed number of words into account, which leads to the out-of-vocabulary (OOV) problem. In this work, we analyze why the OOV problem arises and why it is considered a serious problem in German. We study the effectiveness of compound word splitters for alleviating the OOV problem, resulting in a 2.5+ BLEU points improvement over a baseline on the WMT' 14 German-to-English translation task. For English-to-German translation, we use target-side compound splitting through a special syntax during training that allows the model to merge compound words and gain 0.2 BLEU points. © 1963-2018 ACL.","","","",""
7,"","hill_empirical_2014-1","Hill, Emily; Binkley, David; Lawrie, Dawn; Pollock, Lori & Vijay-Shanker, K.","An Empirical Study of Identifier Splitting Techniques","Empirical Softw. Engg.",19,6,"","1754--1780",2014,"","06","http://dx.doi.org/10.1007/s10664-013-9261-0","","","","","","","","","","","","","","","Program comprehension, Identifier names, Software engineering tools, Source code text analysis","",""
6,"978-1-932432-88-6","hewlett_fully_2011-2","Hewlett, Daniel & Cohen, Paul","Fully Unsupervised Word Segmentation with BVE and MDL","",,,"","540--545",2011,"Stroudsburg, PA, USA","111 event-place: Portland, Oregon","http://dl.acm.org/citation.cfm?id=2002736.2002843","Proceedings of the 49th {Annual} {Meeting} of the {Association} for {Computational} {Linguistics}: {Human} {Language} {Technologies}: {Short} {Papers} - {Volume} 2","","","{HLT} '11","","Association for Computational Linguistics","","","","","","","","","","",""
6,"978-1-932432-92-3","hewlett_word_2011-2","Hewlett, Daniel & Cohen, Paul","Word Segmentation As General Chunking","",,,"","39--47",2011,"Stroudsburg, PA, USA","151 event-place: Portland, Oregon","http://dl.acm.org/citation.cfm?id=2018936.2018941","Proceedings of the {Fifteenth} {Conference} on {Computational} {Natural} {Language} {Learning}","","","{CoNLL} '11","","Association for Computational Linguistics","","","","","","","","","","",""
6,"","henrich_determining_2011","Henrich, V. & Hinrichs, E.","Determining immediate constituents of compounds in GermaNet","",,,"","420--426",2011,"","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866877956&partnerID=40&md5=4e50f1d779c887840937a10cea5dcd74","International {Conference} {Recent} {Advances} in {Natural} {Language} {Processing}, {RANLP}","","","","","","","","","","","cited By 11","In order to be able to systematically link compounds in GermaNet to their constituent parts, compound splitting needs to be applied recursively and has to identify the immediate constituents at each level of analysis. Existing tools for compound splitting for German only offer an analysis of all component parts of a compound at once without any grouping of subconstituents. Thus, existing tools for splitting compounds were adapted to overcome this issue. Algorithms combining three heterogeneous kinds of compound splitters are developed to achieve better results. The best overall result with an accuracy of 92.42\% is achieved by a hybrid combined compound splitter that takes into account all knowledge provided by the individual compound splitters, and in addition some domain knowledge about German derivation morphology and compounding.","","","",""
7,"","hellwig_using_2015","Hellwig, Oliver","Using Recurrent Neural Networks for joint compound splitting and Sandhi resolution in Sanskrit","Proceedings of the 7th LTC",,,"","289--293",2015,"","81","","","","","","","","","","","","","","","","","",""
7,"","hedlund_aspects_2001-1","Hedlund, T.; Pirkola, A. & Järvelin, K.","Aspects of Swedish Morphology and Semantics from the Perspective of Mono- and Cross-Language Information Retrieval","Information Processing and Management",37,1,"","147--161",2001,"","09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035152106&doi=10.1016%2fS0306-4573%2800%2900024-8&partnerID=40&md5=7a27a4aaed911888c61fa3e179606b73","","","","","","","","","","","","cited By 30","This paper analyzes the features of the Swedish language from the viewpoint of mono- and cross-language information retrieval (CLIR). The study was motivated by the fact that Swedish is known poorly from the IR perspective. This paper shows that Swedish has unique features, in particular gender features, the use of fogemorphemes in the formation of compound words, and a high frequency of homographic words. Especially in dictionary-based CLIR, correct word normalization and compound splitting are essential. It was shown in this study, however, that publicly available morphological analysis tools used for normalization and compound splitting have pitfalls that might decrease the effectiveness of IR and CLIR. A comparative study was performed to test the degree of lexical ambiguity in Swedish, Finnish and English. The results suggest that part-of-speech tagging might be useful in Swedish IR due to the high frequency of homographic words.","","","",""
6,"978-3-540-44645-3","hedlund_bilingual_2001","Hedlund, Turid; Keskustalo, Heikki; Pirkola, Ari; Sepponen, Mikko & Järvelin, Kalervo","Bilingual Tests with Swedish, Finnish, and German Queries: Dealing with Morphology, Compound Words, and Query Structure","",,,"","210--223",2001,"Berlin, Heidelberg","13","","Cross-{Language} {Information} {Retrieval} and {Evaluation}","","","","Peters, Carol","Springer Berlin Heidelberg","","","","",""," Citado por 24","We designed, implemented and evaluated an automated method for query construction for CLIR from Finnish, Swedish and German to English. This method seeks to automatically extract topical information from request sentences written in one of the source languages and to create a target language query, based on translations given by a translation dictionary. We paid particular attention to morphology, compound words and query structure. we tested this approach in the bilingual track of CLEF. All the source languages are compound languages, i.e., languages rich in compound words. A compound word refers to a multi-word expression where the component words are written together. Because source language request words may appear in various inflected forms not included in a translation dictionary, morphological normalization was used to aid dictionary translation. The query resulting from this process may be structured according to the translation alternatives of each source language word or remain as an unstructured word list.","","","",""
7,"","hedlund_dictionary-based_2004","Hedlund, Turid; Airio, Eija; Keskustalo, Heikki; Lehtokangas, Raija; Pirkola, Ari & Järvelin, Kalervo","Dictionary-Based Cross-Language Information Retrieval: Learning Experiences from CLEF 2000–2002","Information Retrieval",7,1,"January","99--119",2004,"","25","https://doi.org/10.1023/B:INRT.0000009442.34054.55","","","","","","","","","","","","","In this study the basic framework and performance analysis results are presented for the three year long development process of the dictionary-based UTACLIR system. The tests expand from bilingual CLIR for three language pairs Swedish, Finnish and German to English, to six language pairs, from English to French, German, Spanish, Italian, Dutch and Finnish, and from bilingual to multilingual. In addition, transitive translation tests are reported. The development process of the UTACLIR query translation system will be regarded from the point of view of a learning process. The contribution of the individual components, the effectiveness of compound handling, proper name matching and structuring of queries are analyzed. The results and the fault analysis have been valuable in the development process. Overall the results indicate that the process is robust and can be extended to other languages. The individual effects of the different components are in general positive. However, performance also depends on the topic set and the number of compounds and proper names in the topic, and to some extent on the source and target language. The dictionaries used affect the performance significantly.","","","",""
6,"","guo_research_2007-3","Guo, Q. & Li, C.","The research on the application of text clustering and natural language understanding in automatic abstracting","",4,,"","92--96",2007,"","141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44049094329&doi=10.1109%2fFSKD.2007.584&partnerID=40&md5=1786ee4735dd963c58059a2f015c195a","Proceedings - {Fourth} {International} {Conference} on {Fuzzy} {Systems} and {Knowledge} {Discovery}, {FSKD} 2007","","","","","","","","","","","cited By 4","A method of realization of Automatic Abstracting based on Text Clustering and Natural Language Understanding is brought forward, aimed at overcoming shortages of some current methods. The method makes use of text Clustering and can realize Automatic Abstracting of multi- documents. The algorithm of twice Word Segmentation based on the Title and FirstSentences in Paragraphs is brought forward. Its precision and recall is above 95\% For a specific domain on plastics, an Automatic Abstracting system named TCAAS is implemented. The precision and recall of multidocument's Automatic Abstracting is above 75\% And experiments do prove that it is feasible to use the method to develop a domain Automatic Abstracting System, which is valuable for further study in more depth. © 2007 IEEE.","","","",""
7,"","guerrouj_experimental_2014","Guerrouj, Latifa; Penta, Massimiliano; Guéhéneuc, Yann-Gaël & Antoniol, Giuliano","An Experimental Investigation on the Effects of Context on Source Code Identifiers Splitting and Expansion","Empirical Softw. Engg.",19,6,"","1706--1753",2014,"","07","http://dx.doi.org/10.1007/s10664-013-9260-1","","","","","","","","","","","","","","","Identifier splitting and expansion, Program understanding, Task context","",""
6,"","guerrouj_tris_2012","Guerrouj, L.; Galinier, P.; Guéhéneuc, Y.-G.; Antoniol, G. & Di Penta, M.","TRIS: A fast and accurate identifiers splitting and expansion algorithm","",,,"","103--112",2012,"","76","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872297690&doi=10.1109%2fWCRE.2012.20&partnerID=40&md5=cde8887fb5e9ca9bd4f353e3c9bd9ad8","Proceedings - {Working} {Conference} on {Reverse} {Engineering}, {WCRE}","","","","","","","","","","","cited By 4","Understanding source code identifiers, by identifying words composing them, is a necessary step for many program comprehension, reverse engineering, or redocumentation tasks. To this aim, researchers have proposed several identifier splitting and expansion approaches such as Samurai, TIDIER and more recently GenTest. The ultimate goal of such approaches is to help disambiguating conceptual information encoded in compound (or abbreviated) identifiers. This paper presents TRIS, TRee-based Identifier Splitter, a two-phases approach to split and expand program identifiers. First, TRIS pre-compiles transformed dictionary words into a tree representation, associating a cost to each transformation. In a second phase, it maps the identifier splitting/expansion problem into a minimization problem, i.e., the search of the shortest path (optimal split/expansion) in a weighted graph. We apply TRIS to a sample of 974 identifiers extracted from JHotDraw, 3,085 from Lynx, and to a sample of 489 identifiers extracted from 340 C programs. Also, we compare TRIS with GenTest on a set of 2,663 mixed Java, C and C++ identifiers. We report evidence that TRIS split (and expansion) is more accurate than state-of-the-art approaches and that it is also efficient in terms of computation time. © 2012 IEEE.","","","",""
7,"","guerrouj_tidier_2013","Guerrouj, L.; Di Penta, M.; Antoniol, G. & Guéh́eneuc, Y.-G.","TIDIER: An identifier splitting approach using speech recognition techniques","Journal of software: Evolution and Process",25,6,"","575--599",2013,"","74","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883654687&doi=10.1002%2fsmr.539&partnerID=40&md5=79227717373f850527ad7601246a17bb","","","","","","","","","","","","cited By 21","The software engineering literature reports empirical evidence on the relation between various characteristics of a software system and its quality. Among other factors, recent studies have shown that a proper choice of identifiers influences understandability and maintainability. Indeed, identifiers are developers' main source of information and guide their cognitive processes during program comprehension when high-level documentation is scarce or outdated and when source code is not sufficiently commented. This paper proposes a novel approach to recognize words composing source code identifiers. The approach is based on an adaptation of Dynamic Time Warping used to recognize words in continuous speech. The approach overcomes the limitations of existing identifier-splitting approaches when naming conventions (e.g., Camel Case) are not used or when identifiers contain abbreviations. We apply the approach on a sample of more than 1000 identifiers extracted from 340 C programs and compare its results with a simple Camel Case splitter and with an implementation of an alternative identifier splitting approach, Samurai. Results indicate the capability of the novel approach: (i) to outperform the alternative ones, when using a dictionary augmented with domain knowledge or a contextual dictionary and (ii) to expand 48\% of a set of selected abbreviations into dictionary words. Copyright © 2011 John Wiley \& Sons, Ltd.","","","",""
6,"978-0-7695-4123-5","guerrouj_automatic_2010","Guerrouj, Latifa","Automatic Derivation of Concepts Based on the Analysis of Source Code Identifiers","",,,"","301--304",2010,"Washington, DC, USA","11","http://dx.doi.org/10.1109/WCRE.2010.45","Proceedings of the 2010 17th {Working} {Conference} on {Reverse} {Engineering}","","","{WCRE} '10","","IEEE Computer Society","","","","",""," Cited by 4","","","Program Comprehension, Linguistic Analysis, Identifier Splitting, Software Quality","",""
1,"","greghi_o_2001","Greghi, Juliana Galvani; Martins, Ronaldo Teixeira & Nunes, Maria das Graças Volpe","O Processo de Desenvolvimento da BDL-NILC","",,,"","",2001,"","50","","","","","","","Série de Relatórios do NILC, NILC-TR-01-7. São Carlos, Outubro, 57p","","","","","","","","","","",""
7,"","godard_unsupervised_2018-1","Godard, Pierre; Zanon-Boito, Marcely; Ondel, Lucas; Berard, Alexandre; Yvon, François; Villavicencio, Aline & Besacier, Laurent","Unsupervised Word Segmentation from Speech with Attention","arxiv:1806.06734",,,"","",2018,"","147","http://arxiv.org/abs/1806.06734v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"978-3-540-35469-7","geyken_tagh_2006-2","Geyken, Alexander & Hanneforth, Thomas","TAGH: A Complete Morphology for German Based on Weighted Finite State Automata","",,,"","55--66",2006,"Berlin, Heidelberg","139","","Finite-{State} {Methods} and {Natural} {Language} {Processing}","","","","Yli-Jyrä, Anssi; Karttunen, Lauri & Karhumäki, Juhani","Springer Berlin Heidelberg","","","","","","","TAGH is a system for automatic recognition of German word forms. It is based on a stem lexicon with allomorphs and a concatenative mechanism for inflection and word formation. Weighted FSA and a cost function are used in order to determine the correct segmentation of complex forms: the correct segmentation for a given compound is supposed to be the one with the least cost. TAGH is based on a large stem lexicon of almost 80.000 stems that was compiled within 5 years on the basis of large newspaper corpora and literary texts. The number of analyzable word forms is increased considerably by more than 1000 different rules for derivational and compositional word formation. The recognition rate of TAGH is more than 99\% for modern newspaper text and approximately 98.5\% for literary texts.","","","",""
10,"","garbe_fast_nodate-2","Garbe, Wolf","Fast Word Segmentation of Noisy Text","",,,"","",,"","110","https://towardsdatascience.com/fast-word-segmentation-for-noisy-text-2c2c41f9e8da","","","","","","","","","","","","","A string can be divided in several ways. Each distinct segmentation variant is called a composition. This article evaluates different types of word segmentation and propose several algorithms for each one of the basics concepts","","","",""
6,"","gao_modeling_2017-2","Gao, K.; Zhang, S.-S.; Su, S. & Li, M.","Modeling on evaluation object extraction in e-commerce corpus based on semantic feature","",,,"","434--438",2017,"","123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011290552&doi=10.1109%2fICMIC.2016.7804151&partnerID=40&md5=65db6606157eeccd05cb6708dd9e10d9","Proceedings of 2016 8th {International} {Conference} on {Modelling}, {Identification} and {Control}, {ICMIC} 2016","","","","","","","","","","","cited By 0","As a newly shopping tool, electronic commerce has been drawing more and more attention of researchers. According to the characteristics of comments diversity, it is necessary to extract evaluation object which is an important component of sentiment information. This paper explores Conditional Random Field (CRF) to do evaluation objects extraction. After observing generally used features in sentiment extraction, this paper conclude all the features into four categories, i.e. word Segmentation, Part-of-speech Tagging (POS), Dependency Parsing, Semantic Dependency Parsing. What's more, focusing on the introduction of new feature semantic dependency is a very vital item in our research. In the experiment, we examine the various features and combinations in the extraction task performance, and make a detailed comparative study. The experimental results confirm that adding the feature of semantic dependency has better performance in terms of the evaluation object extraction. © 2016 University of MEDEA, Algeria.","","","",""
6,"978-3-642-40802-1","ganguly_case_2013","Ganguly, Debasis; Leveling, Johannes & Jones, Gareth J. F.","A Case Study in Decompounding for Bengali Information Retrieval","",,,"","108--119",2013,"Berlin, Heidelberg","01","","Information {Access} {Evaluation}. {Multilinguality}, {Multimodality}, and {Visualization}","","","","Forner, Pamela; Müller, Henning; Paredes, Roberto; Rosso, Paolo & Stein, Benno","Springer Berlin Heidelberg","","","","","","cited by 5  ","Decompounding has been found to improve information retrieval (IR) effectiveness for compounding languages such as Dutch, German, or Finnish. No previous studies, however, exist on the effect of decomposition of compounds in IR for Indian languages. In this case study, we investigate the effect of decompounding for Bengali, a highly agglutinative Indian language. The standard approach of decompounding for IR, i.e. indexing compound parts (constituents) in addition to compound words, has proven beneficial for European languages. Our experiments reported in this paper show that such a standard approach does not work particularly well for Bengali IR. Some unique characteristics of Bengali compounds are: i) only one compound constituent may be a valid word in contrast to the stricter requirement of both being so; and ii) the first character of the right constituent can be modified by the rules of Sandhi in contrast to simple concatenation. As a solution, we firstly propose a more relaxed decompounding where a compound word is decomposed into only one constituent if the other constituent is not a valid word, and secondly we perform selective decompounding by ensuring that constituents often co-occur with the compound word, which indicates how related the constituents and the compound are. We perform experiments on Bengali ad-hoc IR collections from FIRE 2008 to 2012. Our experiments show that both the relaxed decomposition and the co-occurrence-based constituent selection proves more effective than the standard frequency-based decomposition method, improving mean average precision (MAP) up to 2.72\% and recall up to 1.8\%, compared to not decompounding words.","","","",""
6,"","gabay_using_2008-2","Gabay, D.; Ziv, B. E. & Elhadad, M.","Using wikipedia links to construct word segmentation corpora","",WS-08-15,,"","61--63",2008,"","150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449775446&partnerID=40&md5=ad7bc10a1c3ed07e582931513ab8ae88","{AAAI} {Workshop} - {Technical} {Report}","","","","","","","","","","","cited By 3","Tagged corpora are essential for evaluating and training natural language processing tools. The cost of constructing large enough manually tagged corpora is high, even when the annotation level is shallow. This article describes a simple method to automatically create a partially tagged corpus, using Wikipedia hyperlinks. The resulting corpus contains information about the correct segmentation of 523,599 non-consecutive words in 363,090 sentences. We used our method to construct a corpus of Modern Hebrew (which we have made available at http://www.cs.bgu.ac.il/-nlpproj). The method can also be applied to other languages where word segmentation is difficult to determine, such as East and South-East Asian languages. Copyright © 2008.","","⛔ No DOI found","",""
6,"","fujinuma_substring_2017","Fujinuma, Yoshinari & Grissom II, Alvin","Substring Frequency Features for Segmentation of Japanese Katakana Words with Unlabeled Corpora","",,,"","74--79",2017,"","71","","Proceedings of the {Eighth} {International} {Joint} {Conference} on {Natural} {Language} {Processing} ({Volume} 2: {Short} {Papers})","","","","","","","","","","","","","","","",""
6,"978-1-932432-71-8","fritzinger_how_2010","Fritzinger, Fabienne & Fraser, Alexander","How to Avoid Burning Ducks: Combining Linguistic Analysis and Corpus Statistics for German Compound Processing","",,,"","224--234",2010,"Stroudsburg, PA, USA","event-place: Uppsala, Sweden 38","http://dl.acm.org/citation.cfm?id=1868850.1868884","Proceedings of the {Joint} {Fifth} {Workshop} on {Statistical} {Machine} {Translation} and {MetricsMATR}","","","{WMT} '10","","Association for Computational Linguistics","","","","","","","","","","",""
1,"","frcchang_zpar_nodate-2","frcchang","ZPar","",,,"","",,"","154","https://github.com/frcchang/zpar","","","","","","","","","","","","","ZPar statistical parser. Universal language support (depending on the availability of training data), with language-specific features for Chinese and English. Currently support word segmentation, POS tagging, dependency and phrase-structure parsing.","","","",""
6,"","fishel_handling_2014","Fishel, M. & Sennrich, R.","Handling technical OOVs in SMT","",,,"","159--162",2014,"","36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000716797&partnerID=40&md5=3634713662e062110d558fbc30f94db4","Proceedings of the 17th {Annual} {Conference} of the {European} {Association} for {Machine} {Translation}, {EAMT} 2014","","","","","","","","","","","cited By 0","We present a project on machine translation of software help desk tickets, a highly technical text domain. The main source of translation errors were out-of-vocabulary tokens (OOVs), most of which were either in-domain German compounds or technical token sequences that must be preserved verbatim in the output. We describe our efforts on compound splitting and treatment of non-translatable tokens, which lead to a significant translation quality gain. © 2014 The authors.","","","",""
1,"","fibla_bilingual_nodate-2","Fibla, Laia","Bilingual Word Segmentation","",,,"","",,"","102","https://github.com/laiafr/bilingual_wordseg","","","","","","","","","","","","","This project aims to model balanced bilinguals and monolinguals of 3 different languages, with language switching happening every other sentence, or every 100 sentences. We test the performance of different algorithms on word segmentation that represent different coginitve strategies that infants could be brining into the word segmentation task. This repository contains the collected corpora from English, Catalan and Spanish which are also freely available in CHILDES https://childes.talkbank.org As well as all the steps to process the data wich are descrived in the recipes of each language.","","","",""
6,"","escartin_german_2014","Escartín, Carla Parra; Peitz, Stephan & Ney, Hermann","German Compounds and Statistical Machine Translation. Can they get along?","",,,"","48--56",2014,"","33","","Proceedings of the 10th {Workshop} on {Multiword} {Expressions} ({MWE})","","","","","","","","","","","","","","","",""
7,"","escartin_assessing_2015","Escartín, Carla Parra & Alonso, Héctor Martínez","Assessing WordNet for bilingual compound dictionary extraction","MULTI-WORD UNITS IN MACHINE TRANSLATION AND TRANSLATION TECHNOLOGIES MUMTTT2015",,,"","19",2015,"","10","","","","","","","","","","","","","","","","","",""
